player,fantasy_score
Babar Azam,4250591.488989871
SS Iyer,4066388.0855826
HE van der Dussen,3798711.510273042
TWM Latham,3602073.924809862
V Kohli,3386684.432454964
T Bavuma,3299458.7132261475
Shubman Gill,3297442.38661887
H Klaasen,3174983.160273042
KL Rahul,3144310.8324549645
Mushfiqur Rahim,3085154.436286032
Mohammad Rizwan,3051159.688989871
Mahmudullah,2939413.8710050397
SPD Smith,2932371.413371307
DA Miller,2855679.113226148
M Labuschagne,2778191.6335685872
Najmul Hossain Shanto,2545063.163371307
AT Carey,2518963.07100504
Mehidy Hasan Miraz,2454458.077602573
Fakhar Zaman,2258746.4082268574
Litton Das,2134249.6133713066
AK Markram,2063927.7602730421
Rahmat Shah,1846970.9634120073
DJ Mitchell,1784762.7681738404
RG Sharma,1754235.6577260813
WA Young,1739448.1281738402
GD Phillips,1551451.7759465107
Rahmanullah Gurbaz,1497411.7866188695
Hashmatullah Shahidi,1391858.2634120074
A Zampa,1383972.996286032
JC Buttler,1242177.7454764321
Imam-ul-Haq,1229071.595476432
TM Head,1089815.1885463945
Tamim Iqbal,1048637.9385463945
Q de Kock,1030650.7511920126
GJ Maxwell,1005045.12765287
Ibrahim Zadran,943397.8540607301
Towhid Hridoy,878797.7891470538
Azmatullah Omarzai,865658.9177260814
PD Salt,863243.8400715379
JP Inglis,816665.7891470538
DA Warner,808143.0128848678
KS Williamson,747777.7908775596
Shakib Al Hasan,714418.4691470539
HH Pandya,679367.1262947343
Mohammad Nabi,674344.8666188697
DP Conway,661458.4379774341
RA Jadeja,609171.9262947344
Agha Salman,601840.1419229248
R Ravindra,582380.8708775595
LS Livingstone,557067.840071538
DJ Malan,553301.6406424653
K Verreynne,529420.730236462
Afif Hossain,528643.7891470538
Shaheen Shah Afridi,522650.80816666957
S Dhawan,520165.566405591
Rashid Khan,491554.1977260815
JJ Roy,482318.6194914963
C Green,468456.3928848678
MR Marsh,443668.384535754
SM Curran,442835.5200715379
BM Duckett,434841.6406424653
Ishan Kishan,432283.285697825
AU Rashid,430381.0802414404
AR Patel,428754.7740607302
MG Bracewell,423624.5877141663
HM Nicholls,417154.64087755955
JN Malan,412955.15713994624
JM Bairstow,362154.57869512134
HC Brook,342303.79503018
SA Yadav,332231.166405591
MJ Santner,332063.4081738403
AJ Finch,320578.55887562997
JE Root,315600.11949149624
M Jansen,298477.65534731856
DJ Willey,266396.38869512134
RR Hendricks,240349.16415326844
Tanzid Hasan,219833.95887562996
SA Abbott,213055.43854639455
Mohammed Shami,199358.3340607302
MM Ali,171393.60007153792
MP Stoinis,170144.35288486778
T de Zorzi,146435.5595550208
Washington Sundar,137890.20640559105
Iftikhar Ahmed,135231.1010283572
K Rabada,131867.40534731856
SV Samson,125182.33078684179
Naseem Shah,123828.43503018004
MJ Guptill,121889.55199331383
