,player,team,batting_avg,total_runs
252,MP Breetzke,South Africa,116.5,14912
203,GD Phillips,New Zealand,80.61624999999997,467200
219,DJ Malan,England,77.09900000000034,165800
134,JL Denly,England,76.5,153
18,Shubman Gill,India,67.50333333333356,1291140
289,Saim Ayub,Pakistan,67.16499999999999,2060
222,JN Malan,South Africa,65.19799999999996,95800
111,KH Pandya,India,65,520
351,B Sai Sudharsan,India,63.5,127
26,HE van der Dussen,South Africa,61.11761904761909,1017387
291,Babar Azam,Pakistan,61.10619047619125,1432368
47,L Gregory,England,58.5,117
329,Zubayr Hamza,South Africa,56,56
200,Jaker Ali,Bangladesh,55.333333333333336,20088
39,Fakhar Zaman,Pakistan,54.95777777777777,703080
25,RD Rickelton,South Africa,54.642857142857146,27832
180,BM Duckett,England,53.03100000000015,168200
67,SR Hain,England,53,106
177,SS Iyer,India,50.97772727272669,1462164
227,Ishan Kishan,India,50.47545454545467,122210
82,KL Rahul,India,48.042857142857294,1057959
71,JP Inglis,Australia,47.96357142857141,192080
301,H Klaasen,South Africa,47.76571428571463,1018710
168,Ibrahim Zadran,Afghanistan,47.37928571428584,330848
171,Towhid Hridoy,Bangladesh,47.04071428571452,254408
221,Q de Kock,South Africa,46.82785714285728,387492
80,V Kohli,India,46.45047619047688,1326528
336,Haris Sohail,Pakistan,46.165,540
4,TM Head,Australia,46.15466666666665,351000
292,Agha Salman,Pakistan,45.397857142857255,352212
308,DP Conway,New Zealand,45.16583333333332,281952
328,MS Wade,Australia,45,90
312,LRPL Taylor,New Zealand,44.7,5775
83,RR Pant,India,44.427142857142854,25725
1,SPD Smith,Australia,44.30428571428605,936243
36,BA Stokes,England,44.15166666666665,28116
290,Mohammad Rizwan,Pakistan,43.95761904761881,1094562
186,T Bavuma,South Africa,43.93227272727299,1048828
249,R Ravindra,New Zealand,43.50615384615406,254176
108,Tamim Iqbal,Bangladesh,43.18933333333361,340200
235,BR McDermott,Australia,43.166666666666664,2007
242,KS Williamson,New Zealand,42.97923076923078,300820
333,DA Warner,Australia,42.955384615385086,328198
78,Mahmudullah,Bangladesh,42.589545454545785,854744
189,JF Smith,South Africa,42.5,9180
212,S Dhawan,India,42.26000000000022,183600
309,TWM Latham,New Zealand,41.590869565217716,1287057
91,K Verreynne,South Africa,41.46153846153846,112892
303,DA Miller,South Africa,41.19318181818182,800536
17,RG Sharma,India,41.127647058823584,773653
87,JG Bethell,England,40.97571428571428,18179
