,player,team,total_runs,batting_avg
260,SS Iyer,India,1462164,50.97772727272669
93,Babar Azam,Pakistan,1432368,61.10619047619125
163,V Kohli,India,1326528,46.45047619047688
18,Shubman Gill,India,1291140,67.50333333333356
115,TWM Latham,New Zealand,1287057,41.590869565217716
92,Mohammad Rizwan,Pakistan,1094562,43.957619047618806
249,M Labuschagne,Australia,1062232,31.20217391304395
165,KL Rahul,India,1057959,48.042857142857294
269,T Bavuma,South Africa,1048828,43.93227272727299
103,H Klaasen,South Africa,1018710,47.76571428571463
