,player,team,total_wickets,bowling_economy
0,C Green,Australia,3380,5.217692307692306
4,TM Head,Australia,2700,2.7960000000000074
6,Rahmat Shah,Afghanistan,361,1.4284210526315797
9,Gulbadin Naib,Afghanistan,2940,5.843571428571423
12,Najmul Hossain Shanto,Bangladesh,441,3.5871428571428443
15,Mustafizur Rahman,Bangladesh,49348,5.114230769230826
16,Shoriful Islam,Bangladesh,14848,5.5031249999999865
17,RG Sharma,India,289,0.8176470588235298
19,Mohammed Siraj,India,8591,5.0581818181818345
20,MR Marsh,Australia,1872,4.681666666666665
21,MA Starc,Australia,16200,5.715333333333343
26,HE van der Dussen,South Africa,441,0.14285714285714285
33,K Rabada,South Africa,13275,5.084666666666668
35,Mahedi Hasan,Bangladesh,350,4.884000000000001
36,BA Stokes,England,144,3.470000000000001
38,MA Wood,England,4176,5.460000000000007
40,Shadab Khan,Pakistan,2600,5.5829999999999975
42,Faheem Ashraf,Pakistan,700,5.975999999999987
44,BE Hendricks,South Africa,81,5.513333333333333
55,E Bosch,South Africa,64,4.709999999999999
62,Ebadot Hossain,Bangladesh,550,5.566
65,Rehan Ahmed,England,90,5.3100000000000005
72,JR Hazlewood,Australia,19074,4.815882352941159
73,Azmatullah Omarzai,Afghanistan,11271,5.299999999999979
77,Rishad Hossain,Bangladesh,1024,5.27125
78,Mahmudullah,Bangladesh,2904,3.2781818181818307
79,Mehidy Hasan Miraz,Bangladesh,56133,4.805185185185246
80,V Kohli,India,441,0.3966666666666672
85,WG Jacks,England,294,5.210000000000007
86,LS Livingstone,England,7680,5.88937499999997
88,JC Archer,England,6624,5.664166666666661
89,BJ Dwarshuis,Australia,648,5.263333333333333
94,AL Phehlukwayo,South Africa,8192,5.739374999999999
97,Naseem Shah,Pakistan,8928,5.434166666666663
98,Shaheen Shah Afridi,Pakistan,39349,5.844736842105275
99,MJ Santner,New Zealand,25596,4.697222222222208
102,S Mahmood,England,3388,5.640909090909098
103,MP Stoinis,Australia,2535,4.863846153846155
105,Afif Hossain,Bangladesh,784,5.706428571428562
109,Mohammad Saifuddin,Bangladesh,720,5.2783333333333315
110,Mujeeb Ur Rahman,Afghanistan,4598,4.803636363636375
114,DJ Mitchell,New Zealand,4212,3.500000000000011
115,MM Ali,England,7424,5.078125
121,CR Woakes,England,3993,4.484545454545451
123,JM Vince,England,72,1.6533333333333333
129,RA Jadeja,India,17664,4.726249999999995
139,NT Ellis,Australia,1701,4.571111111111106
140,S Muthusamy,South Africa,128,5.740000000000005
154,Mukesh Kumar,India,72,5.013333333333332
164,MW Short,Australia,320,4.943750000000002
165,AM Hardie,Australia,1216,5.141249999999999
166,M Labuschagne,Australia,6348,3.409999999999986
167,Mohammad Nabi,Afghanistan,16200,4.2499999999999885
170,Fareed Ahmad,Afghanistan,1280,5.321249999999998
172,Soumya Sarkar,Bangladesh,847,4.761818181818189
174,Taijul Islam,Bangladesh,2349,4.818888888888889
175,Nangeyalia Kharote,Afghanistan,99,3.6566666666666663
176,AM Ghazanfar,Afghanistan,336,4.135000000000003
182,AU Rashid,England,59904,5.747083333333355
185,GJ Maxwell,Australia,8381,5.397647058823532
197,Haris Rauf,Pakistan,41895,5.831428571428603
198,Abrar Ahmed,Pakistan,1044,4.833333333333331
202,MG Bracewell,New Zealand,11368,5.11857142857141
203,GD Phillips,New Zealand,4864,5.3818750000000275
205,AF Milne,New Zealand,576,4.998333333333335
206,PJ Cummins,Australia,5687,5.3999999999999995
209,Shakib Al Hasan,Bangladesh,11368,4.36714285714284
213,HH Pandya,India,12800,5.238750000000053
214,M Prasidh Krishna,India,1044,5.698333333333334
215,TA Boult,New Zealand,2352,4.5900000000000025
216,MJ Henry,New Zealand,31104,4.820555555555518
219,DJ Malan,England,100,1.4039999999999995
220,Mohammad Nawaz (3),Pakistan,2025,5.09
225,DJ Willey,England,6534,5.310000000000019
226,DL Chahar,India,504,5.623333333333335
231,Saud Shakeel,Pakistan,81,0.5244444444444444
236,AC Agar,Australia,1300,4.612
239,WD Parnell,South Africa,180,4.873333333333337
240,Mohammed Shami,India,17640,5.742142857142823
241,C de Grandhomme,New Zealand,96,3.9574999999999996
249,R Ravindra,New Zealand,3380,4.624615384615368
250,W O'Rourke,New Zealand,2499,5.918571428571424
253,CJ Dala,South Africa,64,5.870000000000004
254,R Ashwin,India,54,4.873333333333333
257,Mohammad Wasim (1),Pakistan,3400,5.432999999999993
269,SA Abbott,Australia,9900,5.638000000000004
270,A Zampa,Australia,74304,5.398749999999935
272,Taskin Ahmed,Bangladesh,38088,4.816956521739143
275,AR Patel,India,8624,4.6450000000000085
276,Washington Sundar,India,3744,5.948333333333334
277,Kuldeep Yadav,India,49726,5.148695652173894
281,Rashid Khan,Afghanistan,19074,4.579999999999996
282,AK Markram,South Africa,7497,4.495714285714265
284,BC Fortuin,South Africa,576,4.238333333333334
287,J Overton,England,490,4.842857142857142
292,Agha Salman,Pakistan,3724,5.122142857142868
293,Nasum Ahmed,Bangladesh,1024,5.294999999999998
294,Nahid Rana,Bangladesh,175,4.694
297,IS Sodhi,New Zealand,4225,5.861538461538463
298,RJW Topley,England,3200,5.424000000000002
302,M Jansen,South Africa,12375,5.858666666666663
313,KA Jamieson,New Zealand,1458,5.1622222222222245
314,TK Curran,England,343,5.238571428571424
319,KA Maharaj,South Africa,24000,4.786499999999985
325,YS Chahal,India,2304,5.862500000000001
331,JJ Bumrah,India,3726,4.908888888888873
339,Khushdil Shah,Pakistan,729,4.131111111111111
340,Harshit Rana,India,624,5.81
341,CV Varun,India,275,5.22999999999999
347,Usama Mir,Pakistan,375,5.982000000000011
348,HB Shipley,New Zealand,240,5.510000000000003
