Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Start Date,End Date
V Kohli,3,3.0,0.0,183.0,89.0,61.0,181.0,101.1,0.0,2.0,0.0,14.0,1.0,India,2020-01-01,2020-02-01
RG Sharma,3,3.0,0.0,171.0,119.0,57.0,187.0,91.44,1.0,0.0,0.0,16.0,6.0,India,2020-01-01,2020-02-01
S Dhawan,3,2.0,0.0,170.0,96.0,85.0,181.0,93.92,0.0,2.0,0.0,22.0,2.0,India,2020-01-01,2020-02-01
KL Rahul,3,3.0,0.0,146.0,80.0,48.66,140.0,104.28,0.0,1.0,0.0,12.0,3.0,India,2020-01-01,2020-02-01
SS Iyer,3,3.0,1.0,55.0,44.0,27.5,61.0,90.16,0.0,0.0,0.0,7.0,1.0,India,2020-01-01,2020-02-01
RA Jadeja,3,2.0,1.0,45.0,25.0,45.0,48.0,93.75,0.0,0.0,0.0,3.0,1.0,India,2020-01-01,2020-02-01
RR Pant,1,1.0,0.0,28.0,28.0,28.0,33.0,84.84,0.0,0.0,0.0,2.0,1.0,India,2020-01-01,2020-02-01
Kuldeep Yadav,3,1.0,0.0,17.0,17.0,17.0,15.0,113.33,0.0,0.0,0.0,2.0,0.0,India,2020-01-01,2020-02-01
SN Thakur,1,1.0,0.0,13.0,13.0,13.0,10.0,130.0,0.0,0.0,0.0,2.0,0.0,India,2020-01-01,2020-02-01
Mohammed Shami,3,2.0,1.0,11.0,10.0,11.0,16.0,68.75,0.0,0.0,0.0,1.0,0.0,India,2020-01-01,2020-02-01
MK Pandey,2,2.0,1.0,10.0,8.0,10.0,8.0,125.0,0.0,0.0,0.0,2.0,0.0,India,2020-01-01,2020-02-01
JJ Bumrah,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-01-01,2020-02-01
NA Saini,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-01-01,2020-02-01
SPD Smith,3,2.0,0.0,229.0,131.0,114.5,234.0,97.86,1.0,1.0,0.0,23.0,2.0,Australia,2020-01-01,2020-02-01
