Credits,Player Type,Player Name,Team,ESPN player name
8.0,ALL,Azmatullah Omarzai,AFG,Azmatullah Omarzai
5.5,BOWL,Bilal Sami,AFG,Bilal Sami
6.0,BAT,Darwish Rasooli,AFG,Darwish Rasooli
7.0,BOWL,Fareed Ahmed Malik,AFG,Fareed Ahmad
8.0,BOWL,FazalHaq Farooqi,AFG,Fazalhaq Farooqi
7.0,BOWL,Gulbadin Naib,AFG,Gulbadin Naib
7.5,BAT,Hashmatullah Shahidi,AFG,Hashmatullah Shahidi
8.0,BAT,Ibrahim Zadran,AFG,Ibrahim Zadran
6.5,WK,Ikram Alikhil,AFG,Ikram Alikhil
8.0,ALL,Mohammad Nabi,AFG,Mohammad Nabi
6.0,BOWL,Nangeyalia Kharote,AFG,Nangeyalia Kharote
6.0,BOWL,Naveed Zadran,AFG,Naveed Zadran
7.0,BOWL,Noor Ahmad,AFG,Noor Ahmad
8.5,WK,Rahmanullah Gurbaz,AFG,Rahmanullah Gurbaz
7.5,BAT,Rahmat Shah,AFG,Rahmat Shah
9.0,BOWL,Rashid-Khan,AFG,Rashid Khan
6.5,BAT,Sediqullah Atal,AFG,Sediqullah Atal
6.5,ALL,Aaron Hardie,AUS,AM Hardie
9.0,BOWL,Adam Zampa,AUS,A Zampa
7.0,WK,Alex Carey,AUS,AT Carey
6.5,BOWL,Ben Dwarshuis,AUS,BJ Dwarshuis
5.5,ALL,Cooper Connolly,AUS,C Connolly
8.5,ALL,Glenn Maxwell,AUS,GJ Maxwell
6.0,BAT,Jake Fraser-McGurk,AUS,JF-MacGurk
7.5,WK,Josh Inglis,AUS,JP Inglis
7.5,BAT,Marnus Labuschagne,AUS,M Labuschagne
7.0,ALL,Matthew Short,AUS,MW Short
7.0,BOWL,Nathan Ellis,AUS,NT Ellis
7.5,BOWL,Sean Abbott,AUS,SA Abbott
7.0,BOWL,Spencer Johnson,AUS,SH Johnson
8.5,BAT,Steven Smith,AUS,SPD Smith
6.0,BOWL,Tanveer Sangha,AUS,T Sangha
9.0,BAT,Travis Head,AUS,TM Head
6.5,WK,Jaker Ali Anik,BAN,Jaker Ali
8.5,ALL,Mehidy Hasan Miraz,BAN,Mehidy Hasan Miraz
7.5,ALL,Mohammad Mahmudullah,BAN,Mahmudullah
6.0,BAT,Mohammad Parvez Hossain-Emon,BAN,Mohammad Parvez Hossain-Emon
8.0,WK,Mushfiqur Rahim,BAN,Mushfiqur Rahim
8.0,BOWL,Mustafizur Rahman,BAN,Mustafizur Rahman
6.0,BOWL,Nahid Rana,BAN,Nahid Rana
8.0,BAT,Najmul Hossain Shanto,BAN,Najmul Hossain Shanto
7.0,BOWL,Nasum Ahmed,BAN,Nasum Ahmed
6.5,ALL,Rishad- Hossain,BAN,Rishad Hossain
7.0,BAT,Soumya Sarkar,BAN,Soumya Sarkar
7.0,BAT,Tanzid Hasan,BAN,Tanzid Hasan
7.0,BOWL,Tanzim Sakib,BAN,Tanzim Hasan Sakib
8.5,BOWL,Taskin Ahmed,BAN,Taskin Ahmed
7.5,BAT,Tawhid Hridoy,BAN,Towhid Hridoy
8.5,BOWL,Adil Rashid,ENG,AU Rashid
8.0,BAT,Ben Duckett,ENG,BM Duckett
7.0,BOWL,Brydon Carse,ENG,BA Carse
7.0,BOWL,Gus Atkinson,ENG,AAP Atkinson
7.0,BAT,Harry Brook,ENG,HC Brook
6.5,ALL,Jamie Overton,ENG,J Overton
6.0,WK,Jamie Smith,ENG,JL Smith
8.0,ALL,Joe Root,ENG,JE Root
8.0,BOWL,Jofra Archer,ENG,JC Archer
8.5,WK,Jos Buttler,ENG,JC Buttler
7.0,ALL,Liam Livingstone,ENG,LS Livingstone
7.5,BOWL,Mark Wood,ENG,MA Wood
7.5,WK,Philip Salt,ENG,PD Salt
7.5,BOWL,Saqib Mahmood,ENG,S Mahmood
6.5,BAT,Tom Banton,ENG,T Banton
7.5,BOWL,Arshdeep Singh,IND,Arshdeep Singh
8.0,ALL,Axar Patel,IND,AR Patel
8.5,ALL,Hardik Pandya,IND,HH Pandya
6.5,BOWL,Harshit Rana,IND,Harshit Rana
8.0,BOWL,Kuldeep Yadav,IND,Kuldeep Yadav
7.5,WK,Lokesh Rahul,IND,KL Rahul
8.5,BOWL,Mohammed Shami,IND,Mohammed Shami
8.0,ALL,Ravindra Jadeja,IND,RA Jadeja
7.0,WK,Rishabh Pant,IND,RR Pant
9.0,BAT,Rohit Sharma,IND,RG Sharma
8.0,BAT,Shreyas Iyer,IND,SS Iyer
8.5,BAT,Shubman Gill,IND,Shubman Gill
7.0,BOWL,Varun Chakravarthy,IND,CV Varun
9.0,BAT,Virat Kohli,IND,V Kohli
6.0,ALL,Washington Sundar,IND,Washington Sundar
8.5,BAT,Daryl Mitchell,NZ,DJ Mitchell
8.0,WK,Devon Conway,NZ,DP Conway
8.0,ALL,Glenn Phillips,NZ,GD Phillips
6.5,BOWL,Jacob Duffy,NZ,JA Duffy
9.0,BAT,Kane Williamson,NZ,KS Williamson
6.5,BOWL,Kyle Jamieson,NZ,KA Jamieson
6.5,BAT,Mark Chapman,NZ,MS Chapman
8.5,BOWL,Matt Henry,NZ,MJ Henry
7.5,ALL,Michael Bracewell,NZ,MG Bracewell
8.0,ALL,Mitchell Santner,NZ,MJ Santner
6.0,BOWL,Nathan Smith,NZ,NG Smith
8.0,BAT,Rachin Ravindra,NZ,R Ravindra
7.5,WK,Tom Latham,NZ,TWM Latham
7.0,BAT,Will Young,NZ,WA Young
7.0,BOWL,William O'Rourke,NZ,W O'Rourke
7.0,BOWL,Abrar Ahmed,PAK,Abrar Ahmed
8.0,ALL,Agha Salman,PAK,Agha Salman
8.5,BAT,Babar Azam,PAK,Babar Azam
6.5,ALL,Faheem Ashraf,PAK,Faheem Ashraf
