player,team,total_runs,batting_avg,batting_sr,total_wickets,bowling_avg,bowling_economy,catches,stumpings
C Green,Australia,105794.0,38.71153846153846,73.9569230769231,3380.0,16.793076923076917,5.217692307692306,2197.0,0.0
SPD Smith,Australia,936243.0,44.30428571428605,84.6514285714286,0.0,0.0,0.38095238095238093,14994.0,0.0
J Fraser-McGurk,Australia,4716.0,9.916666666666666,95.87666666666658,0.0,0.0,0.0,324.0,0.0
W Sutherland,Australia,18.0,18.0,54.54,2.0,16.5,3.88,1.0,0.0
TM Head,Australia,351000.0,46.15466666666665,110.17533333333199,2700.0,8.821999999999997,2.7960000000000074,1125.0,0.0
LR Morris,Australia,0.0,0.0,0.0,16.0,24.0,4.48,4.0,0.0
Rahmat Shah,Afghanistan,648356.0,38.65105263157918,68.6994736842111,361.0,0.3157894736842105,1.4284210526315797,4332.0,0.0
Rahmanullah Gurbaz,Afghanistan,584820.0,34.84055555555612,78.21833333333349,0.0,0.0,0.0,8100.0,648.0
Hashmatullah Shahidi,Afghanistan,495653.0,30.79736842105271,61.93210526315679,0.0,0.0,0.0,4332.0,0.0
Gulbadin Naib,Afghanistan,62132.0,11.059285714285709,85.59499999999984,2940.0,17.530714285714293,5.843571428571423,3136.0,0.0
Sharafuddin Ashraf,Afghanistan,16.0,2.0,22.22,0.0,0.0,5.555000000000001,4.0,0.0
Noor Ahmad,Afghanistan,5184.0,6.055555555555555,56.589999999999904,972.0,64.53666666666666,6.546666666666671,81.0,0.0
Najmul Hossain Shanto,Bangladesh,787626.0,39.83904761904776,72.02523809523966,441.0,0.47619047619047616,3.5871428571428443,7056.0,0.0
Mushfiqur Rahim,Bangladesh,998784.0,32.53458333333341,66.1008333333346,0.0,0.0,0.0,36864.0,7488.0
Tanzim Hasan Sakib,Bangladesh,7695.0,8.444444444444445,55.958888888889035,1053.0,22.674444444444426,6.286666666666664,81.0,0.0
Mustafizur Rahman,Bangladesh,63544.0,1.4038461538461537,21.50192307692329,49348.0,38.4930769230769,5.114230769230826,4056.0,0.0
Shoriful Islam,Bangladesh,25856.0,5.5625,55.39812500000031,14848.0,33.951250000000094,5.5031249999999865,1024.0,0.0
RG Sharma,India,773653.0,41.127647058823584,113.36941176470667,289.0,0.4117647058823529,0.8176470588235298,6358.0,0.0
Shubman Gill,India,1291140.0,67.50333333333356,91.6800000000004,0.0,0.0,1.0833333333333333,16524.0,0.0
Mohammed Siraj,India,6655.0,2.5454545454545454,41.4699999999999,8591.0,26.306363636363674,5.0581818181818345,726.0,0.0
MR Marsh,Australia,196704.0,35.23666666666661,92.5891666666662,1872.0,18.971666666666653,4.681666666666665,1440.0,0.0
MA Starc,Australia,51525.0,8.673333333333346,54.424000000000134,16200.0,42.174000000000085,5.715333333333343,5400.0,0.0
C Connolly,Australia,931.0,1.7142857142857142,16.964285714285715,49.0,5.285714285714286,1.7671428571428578,0.0,0.0
Riaz Hassan,Afghanistan,2640.0,31.125,61.24999999999998,0.0,0.0,0.0,48.0,0.0
Abdul Malik (1),Afghanistan,488.0,32.75,57.50999999999999,0.0,0.0,0.0,0.0,0.0
