Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team,Start Date,End Date
Mohammed Shami,3,3.0,27.4,0.0,198.0,7.0,4/63,28.28,7.15,23.7,1.0,0.0,India,2020-01-01,2020-02-01
RA Jadeja,3,3.0,28.0,1.0,143.0,4.0,2/44,35.75,5.1,42.0,0.0,0.0,India,2020-01-01,2020-02-01
Kuldeep Yadav,3,3.0,30.0,0.0,182.0,3.0,2/65,60.66,6.06,60.0,0.0,0.0,India,2020-01-01,2020-02-01
NA Saini,2,2.0,20.0,0.0,127.0,3.0,2/62,42.33,6.35,40.0,0.0,0.0,India,2020-01-01,2020-02-01
JJ Bumrah,3,3.0,26.1,2.0,120.0,1.0,1/32,120.0,4.58,157.0,0.0,0.0,India,2020-01-01,2020-02-01
SN Thakur,1,1.0,5.0,0.0,43.0,0.0,,,8.6,,0.0,0.0,India,2020-01-01,2020-02-01
S Dhawan,3,,,,,,,,,,,,India,2020-01-01,2020-02-01
SS Iyer,3,,,,,,,,,,,,India,2020-01-01,2020-02-01
V Kohli,3,,,,,,,,,,,,India,2020-01-01,2020-02-01
MK Pandey,2,,,,,,,,,,,,India,2020-01-01,2020-02-01
RR Pant,1,,,,,,,,,,,,India,2020-01-01,2020-02-01
KL Rahul,3,,,,,,,,,,,,India,2020-01-01,2020-02-01
RG Sharma,3,,,,,,,,,,,,India,2020-01-01,2020-02-01
A Zampa,3,3.0,30.0,0.0,147.0,5.0,3/50,29.4,4.9,36.0,0.0,0.0,Australia,2020-01-01,2020-02-01
KW Richardson,2,2.0,19.1,0.0,116.0,4.0,2/43,29.0,6.05,28.7,0.0,0.0,Australia,2020-01-01,2020-02-01
MA Starc,3,3.0,29.0,0.0,200.0,3.0,3/56,66.66,6.89,58.0,0.0,0.0,Australia,2020-01-01,2020-02-01
AC Agar,3,3.0,28.0,1.0,157.0,2.0,1/38,78.5,5.6,84.0,0.0,0.0,Australia,2020-01-01,2020-02-01
