Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
KL Rahul,3,3.0,5.0,4.0,1.0,4.0,0.0,3 (2ct 1st),1.666,India,2020-01-01,2020-02-01
SS Iyer,3,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,India,2020-01-01,2020-02-01
V Kohli,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,India,2020-01-01,2020-02-01
Mohammed Shami,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,India,2020-01-01,2020-02-01
MK Pandey,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-01-01,2020-02-01
JJ Bumrah,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
S Dhawan,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
RA Jadeja,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
Kuldeep Yadav,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
RR Pant,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
NA Saini,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
RG Sharma,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
SN Thakur,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
AT Carey,3,3.0,3.0,3.0,0.0,3.0,0.0,3 (3ct 0st),1.0,Australia,2020-01-01,2020-02-01
MA Starc,3,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,Australia,2020-01-01,2020-02-01
AC Agar,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,Australia,2020-01-01,2020-02-01
SPD Smith,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
AJ Turner,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
DA Warner,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
A Zampa,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
PJ Cummins,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
AJ Finch,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
JR Hazlewood,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
M Labuschagne,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
KW Richardson,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
KM Jadhav,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,India,2020-02-01,2020-03-01
V Kohli,3,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,India,2020-02-01,2020-03-01
KL Rahul,3,3.0,2.0,1.0,1.0,1.0,0.0,1 (1ct 0st),0.666,India,2020-02-01,2020-03-01
NA Saini,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,India,2020-02-01,2020-03-01
MA Agarwal,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,India,2020-02-01,2020-03-01
YS Chahal,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-02-01,2020-03-01
SS Iyer,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,India,2020-02-01,2020-03-01
Mohammed Shami,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,India,2020-02-01,2020-03-01
JJ Bumrah,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
RA Jadeja,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
Kuldeep Yadav,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
MK Pandey,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
PP Shaw,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
SN Thakur,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
Mahmudullah,1,1.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),2.0,Bangladesh,2020-02-01,2020-03-01
Mashrafe Mortaza,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Bangladesh,2020-02-01,2020-03-01
Mehidy Hasan Miraz,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Bangladesh,2020-02-01,2020-03-01
Mohammad Saifuddin,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Bangladesh,2020-02-01,2020-03-01
Litton Das,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Mohammad Mithun,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Mushfiqur Rahim,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Mustafizur Rahman,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Najmul Hossain Shanto,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Taijul Islam,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Tamim Iqbal,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
C de Grandhomme,3,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,New Zealand,2020-02-01,2020-03-01
KA Jamieson,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,New Zealand,2020-02-01,2020-03-01
TWM Latham,3,3.0,2.0,2.0,0.0,2.0,0.0,1 (1ct 0st),0.666,New Zealand,2020-02-01,2020-03-01
MJ Santner,2,2.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),1.0,New Zealand,2020-02-01,2020-03-01
TA Blundell,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,New Zealand,2020-02-01,2020-03-01
HM Nicholls,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,New Zealand,2020-02-01,2020-03-01
LRPL Taylor,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,New Zealand,2020-02-01,2020-03-01
HK Bennett,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
MS Chapman,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
MJ Guptill,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
JDS Neesham,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
IS Sodhi,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
TG Southee,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
KS Williamson,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
JM Bairstow,3,3.0,1.0,1.0,0.0,1.0,0.0,1 (1ct 0st),0.333,England,2020-02-01,2020-03-01
MM Ali,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
T Banton,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
SM Curran,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
TK Curran,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
JL Denly,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
CJ Jordan,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
S Mahmood,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
EJG Morgan,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
MW Parkinson,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
AU Rashid,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
JE Root,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
JJ Roy,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
CR Woakes,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
AT Carey,1,1.0,2.0,2.0,0.0,2.0,0.0,2 (2ct 0st),2.0,Australia,2020-02-01,2020-03-01
MR Marsh,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Australia,2020-02-01,2020-03-01
PJ Cummins,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
AJ Finch,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
JR Hazlewood,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
M Labuschagne,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
DJM Short,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
SPD Smith,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
MA Starc,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
DA Warner,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
A Zampa,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
Q de Kock,4,3.0,4.0,3.0,1.0,3.0,0.0,2 (2ct 0st),1.333,South Africa,2020-02-01,2020-03-01
T Bavuma,4,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,South Africa,2020-02-01,2020-03-01
K Verreynne,1,1.0,3.0,3.0,0.0,0.0,3.0,3 (3ct 0st),3.0,South Africa,2020-02-01,2020-03-01
RR Hendricks,3,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,South Africa,2020-02-01,2020-03-01
L Ngidi,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,South Africa,2020-02-01,2020-03-01
AL Phehlukwayo,4,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,South Africa,2020-02-01,2020-03-01
BE Hendricks,3,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,South Africa,2020-02-01,2020-03-01
DA Miller,4,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,South Africa,2020-02-01,2020-03-01
